Amand,1
Amelia,430
Amelya,3
Amia,2
Amin,3
Amir,61
Anabel,2
Anabella,3
Anastasia,96
Anastasiya,16
Anatolij,1585
Anatolijs,1
Andrea,120
Andreia,3
Andriej,19
Anetta,3
Anya,4
Anisia,1
Ann,2
Annabella,3
Annabelle,7
Annika,4
Anthony,18
Anton,1155
Antonij,55
Antonio,24
Antons,9
Apolinarij,1
Apollinaria,2
Apollinarija,1
Apollon,1
Apolonia,1
Aran,5
Aretha,1
Aria,34
Arya,11
Arian,49
Arianna,17
Ariella,2
Arielle,2
Ariya,1
Arkadij,126
Arman,29
Armand,28
Armando,14
Arn,3
Arnold,361
Aron,226
Arron,5
Arsen,41
Arsenij,205
Arsenijs,3
Artemij,218
Arthur,31
Artur,1867
Arvid,8
Arvids,6
Arvin,2
Astrea,2
Astrid,2
Athan,1
Athena,10
Atia,1
Atiya,1
August,23
Augustin,12
Augusto,6
Aurea,2
Aurelia,26
Aurelij,5
Aurelio,2
Austea,1
Avfemija,1
Azalia,2
Balanda,1
Balis,1
Balys,210
Baltazaras,2
Baltija,1
Baltys,1
Baltramiejus,18
Baltras,2
Baltrus,14
Banga,118
Bangis,1
Banguolis,1
Barbara,396
Barbora,1499
Barintas,1
Baris,3
Bartas,115
Bartautas,4
Bartenis,2
Bartvydas,2
Bazilija,1
Bazilijus,1
Beata,1727
Beatas,1
Beatrice,13
Beatrisa,18
Beinora,1
Beinoras,2
Beka,1
Bela,59
Belita,6
Bena,24
Benadas,22
Benas,5444
Benedikta,138
Benediktas,1470
Benedikte,1
Benetas,3
Benigna,30
Benignas,1
Benis,1
Benita,364
Benitas,12
Benius,109
Benjamina,14
Benjaminas,335
Benona,7
Benonas,12
Bentis,1
Benvenutas,2
Berkantas,1
Bernadeta,331
Bernadina,3
Bernarda,36
Bernardas,977
Bernardeta,2
Bernardinas,1
Berta,241
Bertas,17
Bertautas,1
Bertina,5
Bertoldas,5
Beta,64
Bjornas,4
Blanda,1
Blanka,1
Bogoslava,1
Bogumila,11
Boguslava,13
Bolesas,6
Bolesius,2
Boleslava,10
Boleslavas,42
Boleslovas,199
Bolis,2
Bolius,35
Bolys,2
Bona,9
Bonas,1
Bonifaca,1
Bonifacas,15
Bonifacijus,1
Bonita,2
Bonitas,1
Borisas,340
Borislavas,1
Brigita,3926
Brigitas,2
Bronis,16
Bronislava,1070
Bronislavas,411
Bronislova,15
Bronislovas,909
Bronius,3158
Bronys,2
Brunas,11
Brunhilda,1
Brunona,2
Brunonas,16
Budvydas,2
Butautas,1
Baleslovas,3
Banifacas,3
Benadiktas,6
Benejaminas,1
Benjeminas,6
Bernadieta,3
Bernodeta,1
Berute,1
Bladas,4
Bolieslovas,2
Boneventuras,1
Branislavas,1
Branislovas,1
Brigyta,1
Broneslava,1
Broneslavas,1
Broneslovas,1
Bruonius,5
Beatricia,1
Bella,21
Ben,41
Benedict,2
Benedikt,23
Benjamin,67
Bennas,1
Berkant,1
Bernard,81
Bernardo,6
Bert,1
Bertold,1
Bjoern,1
Bjorn,1
Boleslav,102
Boleslov,2
Bonifacij,1
Boris,458
Brigitta,1
Bronislav,240
Bronislov,1
Bruno,25
Charitonas,2
Chesus,1
Chimena,1
Chrisija,1
Cecilija,25
Celeste,2
Celestina,5
Celestinas,5
Celina,10
Cezara,4
Cezaras,1
Cezarijus,4
Cezaris,15
Cezijus,1
Chauronija,1
Cicilija,16
Cigitas,1
Cirencijus,1
Cyzarija,1
Caius,3
Camila,18
Camilla,29
Carina,1
Carla,9
Carolina,27
Cassandra,2
Catalina,1
Cecilia,3
Cezar,3
Charlotta,1
Charlotte,26
Clara,11
Conrad,4
Constantin,1
Cristian,7
Cristiano,3
Cristina,10
Dacijus,1
Dafne,4
Dagmara,9
Dagna,22
Dagnis,10
Dagnius,31
Daiga,24
Dailis,1
Daima,8
Daimanta,3
Daimantas,9
Daimas,3
Daina,1724
Dainara,3
Dainaras,5
Dainas,4
Daineta,5
Dainida,11
Dainis,24
Dainius,10340
Dainys,1
Dainora,1239
Dainoras,182
Dainorina,5
Dainotas,37
Dainutis,4
Daiva,21703
Daivina,4
Daivita,8
Dakota,6
Daleta,9
Dale,3
Dalia,13211
Dalija,355
Dalijus,21
Dalimantas,5
Dalis,14
Dalius,3040
Dalys,1
Dalyte,1
Damas,2
Damiana,13
Damianas,38
Damijona,1
Damijonas,8
Dana,1158
Danas,1430
Dane,3
Danga,7
Dangina,5
Dangira,374
Dangiras,272
Dangirdas,77
Dangirijus,4
Dangiris,5
Dangirius,3
Dangis,157
Dangius,9
Danguole,2
Danguolija,4
Danguolis,9
Daniela,565
Danielas,4
Daniele,16
Danielis,412
Danielius,5006
Danija,8
Danijus,2
Danis,26
Danius,378
Danys,9
Danuta,2541
Danute,5
Dara,6
Daras,3
Darata,21
Dargaudas,2
Darginas,1
Dargiras,13
Dargirdas,1
Dargiris,10
Dargis,1
Dargvilas,1
Darija,1183
Darijus,514
Darina,179
Daris,4
Darius,21501
Darma,1
Darmantas,9
Darminas,1
Darmintas,2
Darutis,23
Darvida,1
Darvilas,1
Darvinas,3
Darvydas,52
Dasijus,1
Daubaras,2
Daugantas,4
Daugardas,11
Daugas,2
Daugilas,4
Daugintas,7
Daugiras,1
Daugirda,1
Daugirdas,218
Daugmantas,2
Daugvidas,7
Daugvilas,3
Daugvinas,3
Daugvydas,27
Daujotas,5
Daukantas,2
Daukvydas,2
Daumantas,679
Daumilas,1
Daumintas,1
Dauras,2
Daurimas,1
Dauris,2
Daurius,12
Dausa,1
Dautaras,1
Dautartas,8
Dauvydas,1
Davidas,154
Davide,8
Davis,2
Debora,36
Deboras,2
Debra,1
Deima,70
Deimanta,7
Deimantas,2427
Deimante,5
Deimantis,2
Deimas,39
Deimena,128
Deimilas,4
Deimilis,6
Deimilius,1
Deimina,20
Deiminas,32
Deiminta,5
Deimintas,23
Deimis,53
Deina,160
Deinara,2
Deinaras,23
Deinas,94
Deinius,4
Deinora,3
Deinoras,26
Deiva,15
Deivaldas,1
Deivas,9
Deividas,10990
Deivija,4
Deivilas,1
Deivina,45
Deivinas,8
Deivis,379
Deivita,17
Deivius,1
Deivyda,5
Deivydas,1262
Deksteris,1
Dela,1
Delfina,15
Delfinas,1
Delija,28
Delijus,2
Dema,1
Demas,2
Demetra,2
Demetrija,2
Demetrijus,1
Demetris,1
Demetrius,1
Demis,10
Dena,4
Denas,694
Denis,2076
Denisija,2
Denisijus,1
Denius,2
Denys,15
Deodata,1
Deodatas,2
Diana,11321
Dianas,3
Didmantas,5
Diegas,2
Digna,60
Dignas,3
Dija,265
Dijana,580
Dijanas,3
Dijus,52
Dilana,18
Dilanas,250
Dilara,40
Dilija,7
Dilius,1
Dima,22
Dimas,8
Dimitra,2
Dimitrija,1
Dimitrijus,179
Dimitris,1
Dina,314
Dinas,165
Dinis,13
Diodoras,1
Diomedas,2
Dionas,3
Dionisijus,2
Dioniza,1
Dionizas,28
Dionizijus,1
Dionyzas,12
Dirmantas,1
Dita,52
Ditas,15
Dmitrijus,928
Dobilas,44
Dolora,2
Doloresa,27
Doma,9
Domantas,4912
Domas,4778
Domedas,1
Dometa,7
Domicijus,1
